;SIMULATION DB;12/4/2019;;;1. Lampost;1. Lampost;2. Lighting ;2. Lighting ;3. Energy ;3. Energy ;3. Energy ;4. Public Safety ;4. Public Safety ;4. Public Safety ;5. Environmental Monitoring ;5. Environmental Monitoring ;5. Environmental Monitoring ;6. Signage ;7. Movement Monitoring ;7. Movement Monitoring ;8. Connectivity ;8. Connectivity ;8. Connectivity ;;
#;INPUT Categories;Variable;Item #;Unit;1. Pole;2. Smart Lampost;3. LED upgrade only ;4. Control lighting management system (CMS) ;5. Electric Vehicle Charging Point ;6. Photo Voltaic (PV) ;7. Energy Storage (and DC Supply) ;8. CCTV ;9. Push To Talk (PTT);10. Public speakers Alert;11. Air Quality Sensor ;12. Noise Sensor ;13. Water Level Sensor ;14. Public Information & Advertising;15. Traffic Monitoring (People and Vehicles) ;16. Parking Management ;17. Wifi ;18. Wireless Communication ;19. 5G;;
1;1. Capex;1.1 Name;Item 1;AlphaNum;Pole;Smart Lampost;LED street light;Remote control Software;EVSE charger ;Photovoltaic Solar Panel;Battery;Remote CCTV;Code Blue IP;Wireless Concealed Placement Speaker ;Air Quality Sensor ;Noise level sensor;Water level sensor ;Lamp post advertising light box;PIR (passive infrared) Sensor;Surface-mounted Smart Parking Sensor;Wifi antenna;Antennas (Distributed Antenna System);5G antenna;;
2;1. Capex;1.2 Description;Item 1;AlphaNum;Upgrade / replacement of the pole to enable use cases deployment;Implementaion of multi applications smart lamppost;"Light-emitting diode is an electronic device that gives off light when it receives an electrical current (90W-100W).
";A web hosted control system which provides monitoring, switching and dimming control. ;Hardware and electrical integrations to the power grid.;A photovoltaic (PV) cell, commonly called a solar cell, is a non-mechanical device that converts sunlight directly into electricity.;The device stores energy for supplying to electrical appliances when there is a demand. ;A low-light camera with Wi-Fi connectivity, 3G/4G connectivity;IP 1500 VoIp / 2500 VoIp / 5000 VoIp speakerphones ;Public Alerts posts and Info Concealed placement speaker (CPS).;"It measures and find dust particles in the air.
";The microphone is based on the LM386 amplifier and an electret microphone;Measures water table levels in the base of a typical lamp post.;Scrolling light boxes, double sided, or rectangular, LED;"Passive sensors do not transmit energy; rather, they detect the energy that is emitted or reflected from vehicles, road surfaces, and humans and other objects in the field of view and from the atmosphere";A wireless Smart Parking Sigfox sensor that enables you to monitor parking spots or any reserved areas occupancy.;Wifi antenna attached to a street light box;Wireless communication system ;Cells to efficiently deliver high speed mobile broadband and other low latency applications.;;
3;1. Capex;1.3 Unit;Item 1;AlphaNum;Per Steel Pole;Per Smart Lampost;Per LED bulb;Per remote control device;Per charger;Per PV panel;Per battery;Per CCTV;Per VoIP speakerphone ;Per concealed loudspeakers;Per sensor;Per sensor;Per sensor;Per light box;Per sensor;Per sensor;Per antenna;Per antenna;Per antenna;;
4,00;1. Capex;1.4 Ratio # Units / Measure;Item 1;Num #;1,00;1,00;1,00;NA;0,05;0,10;0,10;0,05;0,05;0,05;0,10;0,10;0,05;0,05;0,20;0,10;0,05;0,10;0,02;;
5;1. Capex;1.5 Cost / Unit - Min;Item 1;£;140;2 100;50;10 000;465;70;100;90;300;80;200;5;30;350;15;60;15;45;30;;
6;1. Capex;1.6 Cost / Unit - Max;Item 1;£;530;6 900;150;15 000;600;150;400;350;2 000;230;310;10;80;620;25;115;50;140;60;;
7;1. Capex;1.7 Source 1;Item 1;AlphaNum;https://www.alibaba.com/product-detail/XINTONG-6m-8-meter-height-street_60763795461.html?spm=a2700.7724857.normalList.20.1d3914e72DnSRo&s=p;https://www.euractiv.com/section/digital/news/european-cities-want-10-million-smart-streetlamps/;https://i-solar-street-light.en.made-in-china.com/product/djxmEvMVXIWL/China-Isolar-60W-8m-Battery-Hanging-Outdoor-Lighting-Solar-LED-Street-Light.html;"https://www.telensa.com/applications#street_lighting
";" https://www.amazon.com/dp/B01NCEIG1F/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B01NCEIG1F
";https://www.alibaba.com/product-detail/Cheap-price-direct-from-factory-all_60603459369.html?spm=a2700.7724857.normalList.113.21262cd34L6WIS;"https://www.alibaba.com/product-detail/1kw-2kw-3kw-4kw-5kw-10kw_919057641.html?spm=a2700.7724838.2017005.6.6c254b77FmCO3R
";https://wardmay-cctv.en.made-in-china.com/product/vCRJeUoPnLhy/China-1080P-4X-10X-Optical-Zoom-Outdoor-Bullet-Waterproof-IP-PTZ-Security-Camera.html;https://www.commgear.com/security-systems/emergency-telephones/code-blue-ip5000-voip-speakerphone-upgrade-from-one-button-to-two-button-with-keypad.html;https://www.amazon.com/Acoustic-Research-Outdoor-Wireless-AW826/dp/B003EV6OTS;"https://www.wunderground.com/cat6/purple-airs-250-air-pollution-monitor-gives-government-equipment-run-money
";https://www.reichelt.com/fr/fr/arduino-capteur-sonore-grove-grv-sound-sens-p191177.html?PROVID=2788&gclid=EAIaIQobChMI2vqCw_q14AIVE_hRCh1aiQaBEAQYBiABEgJu5fD_BwE&&r=1;https://www.alibaba.com/product-detail/IP68-water-level-sensor_60701581079.html?spm=a2700.7724857.normalList.21.40be13e4NmLJJf&s=p;https://www.alibaba.com/product-detail/Outdoor-street-LED-middle-lamp-post_60549918471.html?spm=a2700.7724857.normalList.138.45f7f5c74p8TiE;https://www.englishlampposts.co.uk/garden-lamp-posts-pir;https://www.alibaba.com/product-detail/IoT-Smart-Parking-sensor-SGM-201_50041290513.html?spm=a2700.7724838.2017115.338.2b876201jEvMqY;https://www.alibaba.com/product-detail/All-in-one-body-led-street_60858254472.html?spm=a2700.galleryofferlist.normalList.187.77646241mK7Kzj;http://www.l-com.com/wireless-antenna-24-ghz-6-dbi-omnidirectional-antenna-n-female-connector;https://www.alibaba.com/product-detail/Antenna-Manufacturer-5G-5-8GHz-2x15_60625518394.html?spm=a2700.7724838.2017115.353.7c277109fTWItv;;
8;1. Capex;1.8 Source 2;Item 1;AlphaNum;https://futaomonopole.en.made-in-china.com/product/XeYQHsxTYZti/China-The-Best-Price-for-Residential-Steel-Lamp-Pole.html;https://flexsolsolutions.com/soluxio-solar-light-pole/;"https://www.alibaba.com/product-detail/40W-Energy-Saving-Solar-Panel-Led_60281727903.html?spm=a2700.galleryofferlist.normalList.328.934e1757PgUBr9
";"https://www.citintelly.com/intelligent-street-lighting-products/street-lighting-control-system/
";" http://store.evsolutions.com/nissan-32-amp-plug-in---25ft-cable-ul-listed-p75.aspx
";"http://www.altenergy.org/renewables/solar/DIY/solar-panel-cost.html
";https://yzdingxin.en.made-in-china.com/product/CKjExHdJfyVi/China-Used-for-Solar-Street-Light-12V-Lithium-Battery-for-Energy-Storage-System.html;https://www.alibaba.com/product-detail/Best-outdoor-10x-optical-zoom-CCTV_60713163134.html?spm=a2700.galleryofferlist.normalList.2.5209635aditzMf;https://www.cisco.com/c/dam/en_us/about/ciscoitatwork/downloads/ciscoitatwork/pdf/Case_Study_LMR-over-IP_update.pdf ;https://www.ebay.com/itm/Acoustic-Research-Main-Street-Portable-Indoor-Outdoor-Wireless-Bluetooth-Speaker/132779833989?epid=1754443323&hash=item1eea4b7a85:g:0FIAAOSw~kVbmnci;"https://www.niwa.co.nz/atmosphere/research-projects/pacman
";https://www.sparkfun.com/products/12642;https://wnksensor.en.made-in-china.com/product/IqCJYLVTsNaE/China-IP68-1-5V-4-20mA-Water-Level-Sensor-Submersible-Level-Transmitter-Factory-Price.html;https://cnyeroo.en.made-in-china.com/product/fBaEdtcVOWkx/China-Outdoor-Advertising-Scrolling-Lamp-Post-Light-Box.html;https://www.alibaba.com/product-detail/12V-8A-PIR-LED-controller-MPPT_60707172504.html?spm=a2700.details.maylikehoz.15.715b2e04c4o5Se;https://www.made-in-china.com/showroom/773687874/product-detailXBwxFKOMQfcY/China-Zigbee-Wireless-Car-Parking-Sensor-for-on-Street-Parking-Lots-WPSD-15X-.html;https://www.alibaba.com/product-detail/Professional-Smart-Street-Lighting-Wifi-Remote_60799194268.html?spm=a2700.galleryofferlist.normalList.1.d1722cddSIr4XW;https://www.amazon.com/Vandal-Resistant-Profile-Omni-Directional-Antenna/dp/B01E36Y7EG/ref=pd_rhf_dp_s_all_spx_wp_0_27?_encoding=UTF8&pd_rd_i=B01E36Y7EG&pd_rd_r=ee749685-bed3-4e76-9c97-4201bb00b375&pd_rd_w=sHlaM&pd_rd_wg=wMSbM&pf_rd_p=be1fc0a3-5323-42ce-8eda-5c75d301717d&pf_rd_r=E71AZCX7KJKFT8QHMR6W&psc=1&refRID=E71AZCX7KJKFT8QHMR6W;https://arronna.en.made-in-china.com/product/tvfxOpJWOTkC/China-5-8GHz-14dBi-Wireless-Sector-Antenna-WiFi-Wimax-Antenna-ARP-DP5725-5850-14-65-.html;;
9;1. Capex;1.9 Source 3;Item 1;AlphaNum;https://www.theledstore.co/street-lamp-post-8m-galvanised-tubular-steel;https://www.huffpost.com/entry/intellistreets_b_1242972;https://www.alibaba.com/product-detail/High-Quality-led-street-light-manufacturers_60832842432.html?spm=a2700.galleryofferlist.normalList.2.3cee3289OCiUge&s=p;"http://qulon.pro
";0;"https://www.alibaba.com/product-detail/Outdoor-led-solar-powered-main-gate_60634875290.html?spm=a2700.details.maylikehoz.7.6823541c2nOxHa
";https://mcabattery.en.made-in-china.com/product/YKwEWBSJnHhI/China-Solar-Panel-Battery-Solar-Street-Light-Battery-12V-130ah.html;https://www.ubitech.fr/camera-ip-exterieure/539-hikvision-ds-2de4225iw-de-dome-ptz-darkfighter-full-hd-2mp-ir-100m-zoom-x-25-6954273651534.html;https://www.neobits.com/code_blue_41429_comnet_fiber_ethernet_ip5000_p10499493.html;https://www.ebay.com/itm/Acoustic-Research-Main-Street-Portable-Indoor-Outdoor-Wireless-Bluetooth-Speaker/132779833989?epid=1754443323&hash=item1eea4b7a85:g:0FIAAOSw~kVbmnci;"https://www.kele.com/search?keywords=air%2BQuality%2Bsensor
";http://www.crysound.com/en/product_info.php?1/2/40;0;0;0;http://www.rosim-its.com/parking-space-sensor/wireless-parking-space-occupancy-sensors-for.html;https://www.alibaba.com/product-detail/2018-Smart-Wifi-Photocell-20W-30W_60791193669.html?spm=a2700.galleryofferlist.normalList.23.d1722cddSIr4XW;https://eu.mouser.com/ProductDetail/HUBER%2bSUHNER/1399190006?qs=sGAEpiMZZMuBTKBKvsBmlJ09NPvTyTiRNGilA46w4UlPzb23QG16Yg%3D%3D;https://www.alibaba.com/product-detail/Antenna-Manufacturer-2400-2500MHz-15dBi-65_1869910120.html?spm=a2700.details.maylikever.2.21027a834r5LdN;;
