ID;Domain;Solution;Solution Abb;UC;Catégory;Item;Cash Out Type;Cash In Type;Cash Out;Cash In;ASU Min;ASU MAX;Deploy Price MIN;Deploy Price MAX;Paas;Mark Up
1;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1 - 50 - Deployment & set-up;Deployment & set-up;Deployment & set-up;150 255;199 839;1;50;130410;170100;NA#;33%
2;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 51 - 100 - Deployment & set-up;Deployment & set-up;Deployment & set-up;211 345;281 089;51;100;191500;231190;NA#;33%
3;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 101 - 200 - Deployment & set-up;Deployment & set-up;Deployment & set-up;290 725;386 664;101;200;251035;330415;NA#;33%
4;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 201 - 300 - Deployment & set-up;Deployment & set-up;Deployment & set-up;389 950;518 633;201;300;350260;429640;NA#;33%
5;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 301 - 400 - Deployment & set-up;Deployment & set-up;Deployment & set-up;489 175;650 603;301;400;449485;528865;NA#;33%
6;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 401 - 500 - Deployment & set-up;Deployment & set-up;Deployment & set-up;631 200;839 496;401;500;591510;670890;NA#;33%
7;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 501 - 600 - Deployment & set-up;Deployment & set-up;Deployment & set-up;730 425;971 465;501;600;690735;770115;NA#;33%
8;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 601 - 700 - Deployment & set-up;Deployment & set-up;Deployment & set-up;829 650;1 103 435;601;700;789960;869340;NA#;33%
9;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 701 - 800 - Deployment & set-up;Deployment & set-up;Deployment & set-up;928 875;1 235 404;701;800;889185;968565;NA#;33%
10;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 801 - 900 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 028 100;1 367 373;801;900;988410;1067790;NA#;33%
11;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 901 - 1000 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 127 325;1 499 342;901;1000;1087635;1167015;NA#;33%
12;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1001 - 1100 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 226 550;1 631 312;1001;1100;1186860;1266240;NA#;33%
13;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1101 - 1200 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 368 575;1 820 205;1101;1200;1328885;1408265;NA#;33%
14;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1201 - 1300 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 467 800;1 952 174;1201;1300;1428110;1507490;NA#;33%
15;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1301 - 1400 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 567 025;2 084 143;1301;1400;1527335;1606715;NA#;33%
16;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1401 - 1500 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 666 250;2 216 113;1401;1500;1626560;1705940;NA#;33%
17;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1501 - 1600 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 765 475;2 348 082;1501;1600;1725785;1805165;NA#;33%
18;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1601 - 1700 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 864 700;2 480 051;1601;1700;1825010;1904390;NA#;33%
19;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1701 - 1800 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 963 925;2 612 020;1701;1800;1924235;2003615;NA#;33%
20;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1801 - 1900 - Deployment & set-up;Deployment & set-up;Deployment & set-up;2 063 150;2 743 990;1801;1900;2023460;2102840;NA#;33%
21;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1901 - 2000 - Deployment & set-up;Deployment & set-up;Deployment & set-up;2 162 375;2 875 959;1901;2000;2122685;2202065;NA#;33%
22;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 2001 - 2100 - Deployment & set-up;Deployment & set-up;Deployment & set-up;2 261 600;3 007 928;2001;2100;2221910;2301290;NA#;33%
23;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1 - 50 - PaaS;Opex;Recurring;22 042;29 316;1;50;NA#;NA#;22041,99998;33%
24;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 51 - 100 - PaaS;Opex;Recurring;34 882;46 393;51;100;NA#;NA#;34881,99998;33%
25;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 101 - 200 - PaaS;Opex;Recurring;37 236;49 524;101;200;NA#;NA#;37236;33%
26;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 201 - 300 - PaaS;Opex;Recurring;51 788;68 878;201;300;NA#;NA#;51788,00003;33%
27;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 301 - 400 - PaaS;Opex;Recurring;54 142;72 009;301;400;NA#;NA#;54141,99998;33%
28;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 401 - 500 - PaaS;Opex;Recurring;106 144;141 172;401;500;NA#;NA#;106144;33%
29;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 501 - 600 - PaaS;Opex;Recurring;108 498;144 302;501;600;NA#;NA#;108498;33%
30;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 601 - 700 - PaaS;Opex;Recurring;123 050;163 657;601;700;NA#;NA#;123050;33%
31;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 701 - 800 - PaaS;Opex;Recurring;125 404;166 787;701;800;NA#;NA#;125404;33%
32;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 801 - 900 - PaaS;Opex;Recurring;147 446;196 103;801;900;NA#;NA#;147446;33%
33;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 901 - 1000 - PaaS;Opex;Recurring;149 800;199 234;901;1000;NA#;NA#;149800;33%
34;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1001 - 1100 - PaaS;Opex;Recurring;164 352;218 588;1001;1100;NA#;NA#;164352;33%
35;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1101 - 1200 - PaaS;Opex;Recurring;177 406;235 950;1101;1200;NA#;NA#;177406;33%
36;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1201 - 1300 - PaaS;Opex;Recurring;199 448;265 266;1201;1300;NA#;NA#;199448;33%
37;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1301 - 1400 - PaaS;Opex;Recurring;201 802;268 397;1301;1400;NA#;NA#;201802;33%
38;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1401 - 1500 - PaaS;Opex;Recurring;216 354;287 751;1401;1500;NA#;NA#;216354;33%
39;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1501 - 1600 - PaaS;Opex;Recurring;218 708;290 882;1501;1600;NA#;NA#;218708;33%
