;;;;;;Quantifiable impact;;;;;;NQB;;;
ID;Domain;Solution;Solution Abb;Use Case;Benefits Category;Impact min on Baseline Units Consumption (+/- %);Impact max on Baseline Units Consumption (+/- %);Impact min on Baseline $ Cost / Unit (+/- %);Impact max on Baseline $ Cost / Unit (+/- %);Impact min on existing revenues (%);Impact max on existing revenues (%);Impact (rating 1-10);Probability (0-100%);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($)
446;NTT Accelerate Smart Solutions;Missing Person;MP;Retail / Malls / Small shops;Cash Releasing Benefits;0%;0%;-1%;-1%;NA#;NA#;NA#;NA#;22 340,00;NA#
506;NTT Accelerate Smart Solutions;Missing Person;MP;Public Areas/Plazas;Cash Releasing Benefits;0%;0%;-10%;-10%;NA#;NA#;NA#;NA#;1 500,00;NA#
566;NTT Accelerate Smart Solutions;Missing Person;MP;Parks;Cash Releasing Benefits;0%;0%;-10%;-10%;NA#;NA#;NA#;NA#;1 500,00;NA#
927;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Public Roads;Cash Releasing Benefits;0%;0%;-10%;-10%;NA#;NA#;NA#;NA#;1 500,00;NA#
987;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Private Roads;Cash Releasing Benefits;0%;0%;-10%;-10%;NA#;NA#;NA#;NA#;1 500,00;NA#
507;NTT Accelerate Smart Solutions;Missing Person;MP;Public Areas/Plazas;Cash Releasing Benefits;0%;0%;-10%;-10%;NA#;NA#;NA#;NA#;20 000,00;NA#
567;NTT Accelerate Smart Solutions;Missing Person;MP;Parks;Cash Releasing Benefits;0%;0%;-10%;-10%;NA#;NA#;NA#;NA#;20 000,00;NA#
926;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Public Roads;Cash Releasing Benefits;0%;0%;-10%;-10%;NA#;NA#;NA#;NA#;200 000,00;NA#
986;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Private Roads;Cash Releasing Benefits;0%;0%;-10%;-10%;NA#;NA#;NA#;NA#;200 000,00;NA#
447;NTT Accelerate Smart Solutions;Missing Person;MP;Retail / Malls / Small shops;Cash Releasing Benefits;0%;0%;-20%;-50%;NA#;NA#;NA#;NA#;2 353,00;NA#
