1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;;;
ID;;Section;;Sub-Section;;Smart Usecase Range Values;;;;;ZONE 1 (USA);ZONE 1 (USA);ZONE 1 (USA);ZONE 2;ZONE 2;ZONE 2;ZONE 3;ZONE 3;ZONE 3;ZONE 4;ZONE 4;ZONE 4;ZONE 5;ZONE 5;ZONE 5;ZONE 6;ZONE 6;ZONE 6;ZONE 7;ZONE 7;ZONE 7;ZONE 8;ZONE 8;ZONE 8;ZONE 9;ZONE 9;ZONE 9;ZONE 10;ZONE 10;ZONE 10;;;
#;Item ID;ID;Name;ID;Name;ASU Range Min;ASU Range Max;Base;EPU;M/O;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;;Name;Name
1;O&N-4.2.1-Item #1;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;1;50;2;3;-;$130 410;$170 100;NA#;$130 410;$170 100;NA#;$130 410;$170 100;NA#;$130 410;$170 100;NA#;$130 410;$170 100;NA#;$130 410;$170 100;NA#;$130 410;$170 100;NA#;$130 410;$170 100;NA#;$130 410;$170 100;NA#;$130 410;$170 100;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
2;O&N-4.2.1-Item #2;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;51;100;2;3;Small;$191 500;$231 190;NA#;$191 500;$231 190;NA#;$191 500;$231 190;NA#;$191 500;$231 190;NA#;$191 500;$231 190;NA#;$191 500;$231 190;NA#;$191 500;$231 190;NA#;$191 500;$231 190;NA#;$191 500;$231 190;NA#;$191 500;$231 190;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
3;O&N-4.2.1-Item #3;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;101;200;2;4;Small;$251 035;$330 415;NA#;$251 035;$330 415;NA#;$251 035;$330 415;NA#;$251 035;$330 415;NA#;$251 035;$330 415;NA#;$251 035;$330 415;NA#;$251 035;$330 415;NA#;$251 035;$330 415;NA#;$251 035;$330 415;NA#;$251 035;$330 415;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
4;O&N-4.2.1-Item #4;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;201;300;3;7;Small;$350 260;$429 640;NA#;$350 260;$429 640;NA#;$350 260;$429 640;NA#;$350 260;$429 640;NA#;$350 260;$429 640;NA#;$350 260;$429 640;NA#;$350 260;$429 640;NA#;$350 260;$429 640;NA#;$350 260;$429 640;NA#;$350 260;$429 640;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
5;O&N-4.2.1-Item #5;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;301;400;3;8;Small;$449 485;$528 865;NA#;$449 485;$528 865;NA#;$449 485;$528 865;NA#;$449 485;$528 865;NA#;$449 485;$528 865;NA#;$449 485;$528 865;NA#;$449 485;$528 865;NA#;$449 485;$528 865;NA#;$449 485;$528 865;NA#;$449 485;$528 865;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
6;O&N-4.2.1-Item #6;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;401;500;5;11;Medium;$591 510;$670 890;NA#;$591 510;$670 890;NA#;$591 510;$670 890;NA#;$591 510;$670 890;NA#;$591 510;$670 890;NA#;$591 510;$670 890;NA#;$591 510;$670 890;NA#;$591 510;$670 890;NA#;$591 510;$670 890;NA#;$591 510;$670 890;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
7;O&N-4.2.1-Item #7;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;501;600;5;12;Medium;$690 735;$770 115;NA#;$690 735;$770 115;NA#;$690 735;$770 115;NA#;$690 735;$770 115;NA#;$690 735;$770 115;NA#;$690 735;$770 115;NA#;$690 735;$770 115;NA#;$690 735;$770 115;NA#;$690 735;$770 115;NA#;$690 735;$770 115;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
8;O&N-4.2.1-Item #8;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;601;700;6;15;Medium;$789 960;$869 340;NA#;$789 960;$869 340;NA#;$789 960;$869 340;NA#;$789 960;$869 340;NA#;$789 960;$869 340;NA#;$789 960;$869 340;NA#;$789 960;$869 340;NA#;$789 960;$869 340;NA#;$789 960;$869 340;NA#;$789 960;$869 340;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
9;O&N-4.2.1-Item #9;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;701;800;6;16;Medium;$889 185;$968 565;NA#;$889 185;$968 565;NA#;$889 185;$968 565;NA#;$889 185;$968 565;NA#;$889 185;$968 565;NA#;$889 185;$968 565;NA#;$889 185;$968 565;NA#;$889 185;$968 565;NA#;$889 185;$968 565;NA#;$889 185;$968 565;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
10;O&N-4.2.1-Item #10;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;801;900;8;19;Medium;$988 410;$1 067 790;NA#;$988 410;$1 067 790;NA#;$988 410;$1 067 790;NA#;$988 410;$1 067 790;NA#;$988 410;$1 067 790;NA#;$988 410;$1 067 790;NA#;$988 410;$1 067 790;NA#;$988 410;$1 067 790;NA#;$988 410;$1 067 790;NA#;$988 410;$1 067 790;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
11;O&N-4.2.1-Item #11;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;901;1000;8;20;Medium;$1 087 635;$1 167 015;NA#;$1 087 635;$1 167 015;NA#;$1 087 635;$1 167 015;NA#;$1 087 635;$1 167 015;NA#;$1 087 635;$1 167 015;NA#;$1 087 635;$1 167 015;NA#;$1 087 635;$1 167 015;NA#;$1 087 635;$1 167 015;NA#;$1 087 635;$1 167 015;NA#;$1 087 635;$1 167 015;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
12;O&N-4.2.1-Item #12;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;1001;1100;9;23;Medium;$1 186 860;$1 266 240;NA#;$1 186 860;$1 266 240;NA#;$1 186 860;$1 266 240;NA#;$1 186 860;$1 266 240;NA#;$1 186 860;$1 266 240;NA#;$1 186 860;$1 266 240;NA#;$1 186 860;$1 266 240;NA#;$1 186 860;$1 266 240;NA#;$1 186 860;$1 266 240;NA#;$1 186 860;$1 266 240;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
13;O&N-4.2.1-Item #13;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;1101;1200;9;24;Large;$1 328 885;$1 408 265;NA#;$1 328 885;$1 408 265;NA#;$1 328 885;$1 408 265;NA#;$1 328 885;$1 408 265;NA#;$1 328 885;$1 408 265;NA#;$1 328 885;$1 408 265;NA#;$1 328 885;$1 408 265;NA#;$1 328 885;$1 408 265;NA#;$1 328 885;$1 408 265;NA#;$1 328 885;$1 408 265;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
14;O&N-4.2.1-Item #14;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;1201;1300;11;27;Large;$1 428 110;$1 507 490;NA#;$1 428 110;$1 507 490;NA#;$1 428 110;$1 507 490;NA#;$1 428 110;$1 507 490;NA#;$1 428 110;$1 507 490;NA#;$1 428 110;$1 507 490;NA#;$1 428 110;$1 507 490;NA#;$1 428 110;$1 507 490;NA#;$1 428 110;$1 507 490;NA#;$1 428 110;$1 507 490;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
15;O&N-4.2.1-Item #15;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;1301;1400;11;28;Large;$1 527 335;$1 606 715;NA#;$1 527 335;$1 606 715;NA#;$1 527 335;$1 606 715;NA#;$1 527 335;$1 606 715;NA#;$1 527 335;$1 606 715;NA#;$1 527 335;$1 606 715;NA#;$1 527 335;$1 606 715;NA#;$1 527 335;$1 606 715;NA#;$1 527 335;$1 606 715;NA#;$1 527 335;$1 606 715;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
16;O&N-4.2.1-Item #16;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;1401;1500;12;31;Large;$1 626 560;$1 705 940;NA#;$1 626 560;$1 705 940;NA#;$1 626 560;$1 705 940;NA#;$1 626 560;$1 705 940;NA#;$1 626 560;$1 705 940;NA#;$1 626 560;$1 705 940;NA#;$1 626 560;$1 705 940;NA#;$1 626 560;$1 705 940;NA#;$1 626 560;$1 705 940;NA#;$1 626 560;$1 705 940;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
