;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
ID;;Section;;Sub-Section;;Category;;Item;;;;ASU;;ZONE 1 (USA);ZONE 1 (USA);ZONE 2;ZONE 2;ZONE 3;ZONE 3;ZONE 4;ZONE 4;ZONE 5;ZONE 5;ZONE 6;ZONE 6;ZONE 7;ZONE 7;ZONE 8;ZONE 8;ZONE 9;ZONE 9;ZONE 10;ZONE 10
#;Item ID;ID;Name;ID;Name;ID;Name;#;Name;Ref Unit;Comments;ASU min;ASU max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max
41;Metrics-3.1-Item #1;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Equipement;Item #1;Cameras;#Units;Includes pole mounting Brackets;NA#;NA#;$900;$900;;;;;;;;;;;;;;;;;;
42;Metrics-3.1-Item #2;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Equipement;Item #2;LPR Camera;#Units;;NA#;NA#;$1 400;$1 400;;;;;;;;;;;;;;;;;;
43;Metrics-3.1-Item #3;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Equipement;Item #3;PTZ Camera;#Units; this includes Wall/pole Bracket;NA#;NA#;$1 783;$1 783;;;;;;;;;;;;;;;;;;
44;Metrics-3.1-Item #4;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Equipement;Item #4;Thermal Camera;#Units;;NA#;NA#;$6 000;$6 000;;;;;;;;;;;;;;;;;;
45;Metrics-3.1-Item #5;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Equipement;Item #5;IP Speaker;#Units; this includes weater resistance enclosure with pole mounting h/w;NA#;NA#;$900;$900;;;;;;;;;;;;;;;;;;
46;Metrics-3.1-Item #6;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Analytics;Item #6;AIM-SYM7-E;#Units;ENT V7 RECORDING VID MGMT ANALY S/W Device Camera LIC;NA#;NA#;$226;$226;;;;;;;;;;;;;;;;;;
47;Metrics-3.1-Item #7;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Analytics;Item #7;AIM-SYM7-E-MS-3Y;#Units;3 yrs maintenance support ;NA#;NA#;$110;$110;;;;;;;;;;;;;;;;;;
48;Metrics-3.1-Item #8;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Analytics;Item #8;AIM-SYM7-VA-10;#Units;Core Analytics Lic All Except for Facial & LPR they are purchased seperately;NA#;NA#;$490;$490;;;;;;;;;;;;;;;;;;
49;Metrics-3.1-Item #9;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Edge Compute & Storage;Item #9;VCS7-STD-C-T1;#Units;T1 VMware vCenter Server 7 Standard for vSphere 7 (Per Instance);NA#;NA#;$5 485;$5 485;;;;;;;;;;;;;;;;;;
42;Metrics-3.1-Item #10;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Edge Compute & Storage;Item #10;VCS7-STD-P-SSS-C;#Units;Production Support/Subscription VMware vCenter Server 7 Standard for vSphere 7 (Per Instance) for 1 year;NA#;NA#;$1 536;$1 536;;;;;;;;;;;;;;;;;;
